NAME,NOM,CAPCPGCODE,LAT_DD,LON_DD,WATRBODY_C,PROVINCE_C,COUNTRY_C
,Sainte-Martine,"2470012",45.24547976230,-73.80006099680,,QC,CA
Lot  2,,"1103056",46.90267930800,-64.11145865880,,PE,CA
Guhthe Tah 12,,"5949843",57.90360302740,-131.17571046000,,BC,CA
Alexis Creek 17,,"5941842",52.19741097310,-124.36254363300,,BC,CA
,Lalemant,"2494926",48.05593303920,-70.63581133160,,QC,CA
,Saint-Cuthbert,"2452062",46.18421247160,-73.22925577870,,QC,CA
Beardy's 97 and Okemasis 96,,"4715845",52.81245661990,-106.34881997200,,SK,CA
,Montréal,"2466023",45.52682464790,-73.64893736500,,QC,CA
"Division No. 20, Unorganized, South Part",,"4620066",51.67821130110,-101.01168817400,,MB,CA
,Notre-Dame-du-Sacré-Coeur-d'Issoudun,"2433085",46.57597688450,-71.63897022300,,QC,CA
Northfield,,"1303018",46.22588110980,-66.01823151950,,NB,CA
,Barnston-Ouest,"2444045",45.08401904110,-71.96673388710,,QC,CA
Peterborough,,"3515014",44.30509395110,-78.32635561990,,ON,CA
,Sainte-Anne-de-la-Rochelle,"2442050",45.41036592670,-72.41035255220,,QC,CA
Peace River C,,"5955042",56.23596392500,-120.78350427700,,BC,CA
Drake,,"4711048",51.74692192160,-105.01131011900,,SK,CA
Happy Valley No. 10,,"4702018",49.13071447760,-105.01856517000,,SK,CA
,Brossard,"2458007",45.44729348230,-73.45559496500,,QC,CA
Dewberry,,"4810046",53.58626629260,-110.52618463700,,AB,CA
,Marston,"2430035",45.55393624000,-70.97194184290,,QC,CA
,Saint-Cyprien-de-Napierville,"2468035",45.17526166690,-73.40826263770,,QC,CA
Heart's Delight-Islington,,"1001312",47.77373145440,-53.51845393710,,NL,CA
,Duhamel,"2480135",46.05141447530,-75.20235557640,,QC,CA
,La Guadeloupe,"2429030",45.98059922600,-70.94301484350,,QC,CA
,Saint-Augustin,"2492005",48.81233167020,-71.93424035070,,QC,CA
,Belleterre,"2485065",47.36936502480,-78.73876879670,,QC,CA
Skeena-Queen Charlotte C,,"5947021",53.69901051620,-130.05970280300,,BC,CA
Little Red River 106D,,"4716857",53.55806727890,-106.05751796800,,SK,CA
Maple Creek No. 111,,"4704045",49.80439976810,-109.65080216300,,SK,CA
"Victoria, Subd. A",,"1218006",46.71154281080,-60.47995018150,,NS,CA
L'Anse-au-Clair,,"1010004",51.46354619240,-57.06693937220,,NL,CA
Mankota,,"4703019",49.42018991120,-107.07086355200,,SK,CA
Ponoka,,"4808039",52.67508156050,-113.58630168600,,AB,CA
Sussex Corner,,"1305023",45.71180481870,-65.46820596390,,NB,CA
St. Vincent's-St. Stephen's-Peter's River,,"1001169",46.78003119690,-53.58403048660,,NL,CA
Kehewin 123,,"4812811",54.10102137680,-110.83521703900,,AB,CA
Carmichael No. 109,,"4704054",49.91675575940,-108.66082093600,,SK,CA
Red Earth 29,,"4714840",53.44159069830,-102.87246263400,,SK,CA
Englehart,,"3554052",47.82696288350,-79.87551857290,,ON,CA
,Clermont,"2487110",48.93253882630,-79.24234181550,,QC,CA
Shelburne,,"1201008",43.77020681780,-65.31796145760,,NS,CA
Dore Lake,,"4718023",54.62285802690,-107.42211801100,,SK,CA
Semans,,"4710022",51.40682852380,-104.73140076600,,SK,CA
,Saint-Joseph-de-Sorel,"2453050",46.04677092260,-73.13528085970,,QC,CA
"Division No.  5, Subd. F",,"1005010",48.98978649830,-57.66231870810,,NL,CA
,Amos,"2488055",48.61587487310,-78.00801916240,,QC,CA
Northwest Angle 33B,,"3560060",49.37905635230,-95.01187486160,,ON,CA
Swan Hills,,"4817024",54.71455103680,-115.39852694900,,AB,CA
Saint-Paul,,"1308008",46.33102719630,-65.00860353960,,NB,CA
Fredericton Junction,,"1303006",45.65978913090,-66.60538842690,,NB,CA
Russell,,"3502048",45.27188832440,-75.31375812270,,ON,CA
,Rivière-Nouvelle,"2406902",48.31514197020,-66.55303956990,,QC,CA
Clive,,"4808032",52.47839340270,-113.44552422200,,AB,CA
,Lac-du-Taureau,"2462922",47.23932284330,-74.63632739340,,QC,CA
,Waskaganish,"2499806",51.36733011240,-78.70566327160,,QC,CA
Sayward,,"5924039",50.37494985980,-125.94935325200,,BC,CA
Cowichan Valley B,,"5919046",48.64830880330,-123.71959959500,,BC,CA
Lions Bay,,"5915065",49.46257539340,-123.23786467100,,BC,CA
Sweet Grass 1NB-M16,,"4712837",52.79037522750,-108.54449242300,,SK,CA
Little Hills 158B,,"4718849",55.01755387170,-105.40843606700,,SK,CA
,Saint-Honoré-de-Shenley,"2429038",45.96590483400,-70.81532459400,,QC,CA
Manitou,,"4604035",49.23939479820,-98.53379811120,,MB,CA
Muskowekwan 85-1,,"4710848",51.34728315560,-103.88122051500,,SK,CA
,Chertsey,"2462047",46.12150005370,-73.88676726020,,QC,CA
Shamattawa 1,,"4623071",55.85669781810,-92.09823051740,,MB,CA
Cardwell,,"1305026",45.78480207880,-65.30368238090,,NB,CA
,Saint-Camille,"2440025",45.68643385900,-71.70116524270,,QC,CA
,Stoke,"2442005",45.54902547620,-71.78066302110,,QC,CA
Bridge River 1,,"5931813",50.79627944860,-122.03555078700,,BC,CA
Dubuc,,"4705058",50.68276672020,-102.47711136800,,SK,CA
Longlaketon No. 219,,"4706070",50.93863363410,-104.69134489400,,SK,CA
Miry Creek No. 229,,"4708046",50.76397419690,-108.71328756400,,SK,CA
Horse Lakes 152B,,"4819815",55.34791227320,-119.71627757400,,AB,CA
Lot 47,,"1101039",46.43549357950,-62.06983147020,,PE,CA
St. Gregor,,"4715003",52.17687953820,-104.82737777300,,SK,CA
"Richmond, Subd. B",,"1216011",45.66464674010,-60.57145032190,,NS,CA
Eastend,,"4704026",49.51625442840,-108.82043635400,,SK,CA
Eckville,,"4808024",52.36190585390,-114.36985853900,,AB,CA
Kluskus 1,,"5941833",53.09120760040,-124.49096341000,,BC,CA
Iskut 6,,"5949832",57.83984460000,-129.98824471700,,BC,CA
,Matagami,"2499015",49.75376427820,-77.72918487160,,QC,CA
New Post 69A,,"3556102",49.00791651540,-80.83877530040,,ON,CA
One Arrow 95-1C,,"4715857",52.56202387170,-105.93945043600,,SK,CA
Chauvin,,"4807051",52.69391985360,-110.14203097000,,AB,CA
Loon Lake,,"4717058",54.02611056830,-109.15824071300,,SK,CA
,Saint-Dominique-du-Rosaire,"2488065",48.82565988680,-78.01511334230,,QC,CA
,Saint-Tite-des-Caps,"2421005",47.19689167580,-70.75949486580,,QC,CA
,Lac-Pikauba,"2416902",47.79816757630,-70.90270223680,,QC,CA
Woodstock,,"1008096",49.96613494160,-55.89300693580,,NL,CA
Stony Plain NB5,,"4811804",53.48323565520,-113.75026642200,,AB,CA
Sault Ste. Marie,,"3557061",46.53875965810,-84.40074720780,,ON,CA
Duncan,,"5919012",48.77939677230,-123.70215312900,,BC,CA
Kapasiwin,,"4811044",53.54575012610,-114.44532692300,,AB,CA
,Saint-Augustin-de-Desmaures,"2423072",46.75039248570,-71.48598957690,,QC,CA
,Grande-Vallée,"2403020",49.16781349130,-65.12438574480,,QC,CA
Craven,,"4706078",50.70806844920,-104.79976990200,,SK,CA
"Thunder Bay, Unorganized",,"3558090",49.55202176270,-88.20256346320,,ON,CA
McNab/Braeside,,"3547003",45.41823296850,-76.48802677210,,ON,CA
Alberni-Clayoquot B,,"5923033",49.36005185650,-124.90295989200,,BC,CA
,Saint-Michel-du-Squatec,"2413065",47.83837423460,-68.73327631780,,QC,CA
Bushe River 207,,"4817848",58.47605921200,-116.99349616300,,AB,CA
Ehatis 11,,"5924836",49.98290722120,-126.86164984100,,BC,CA
Cornwall,,"3501012",45.03578617750,-74.74366866530,,ON,CA
Keeler,,"4707046",50.67920417930,-105.88104842700,,SK,CA
Russell,,"4616032",50.77997625360,-101.28314420400,,MB,CA
,Ascot Corner,"2441055",45.45203159090,-71.76177453350,,QC,CA
Biggar No. 347,,"4712042",52.04019463860,-108.04419174000,,SK,CA
Springhill,,"1211008",45.64253690260,-64.06177681940,,NS,CA
Parkside,,"4716044",53.16666567130,-106.53443842100,,SK,CA
Birch Hills,,"4715068",52.98637248270,-105.43649288700,,SK,CA
Muskowekwan 85-26,,"4710834",51.32841403290,-103.96985848700,,SK,CA
Cariboo H,,"5941016",51.89368794690,-120.72600326300,,BC,CA
Enterprise,,"6105003",60.54763577900,-116.19942697600,,NT,CA
Cold Lake 149,,"4812810",54.29621658060,-110.29156094400,,AB,CA
Peace River B,,"5955040",57.06891368790,-123.51850819500,,BC,CA
,Rémigny,"2485105",47.77928357710,-78.97325489520,,QC,CA
Plenty,,"4713031",51.78368338800,-108.64449087200,,SK,CA
Linkletter,,"1103023",46.40634404240,-63.83781646630,,PE,CA
Peguis 1B,,"4619059",51.29385135960,-97.58211890910,,MB,CA
,Longue-Pointe-de-Mingan,"2498045",50.18893098920,-64.12502490430,,QC,CA
St. Hilaire,,"1313033",47.29608552270,-68.39876208630,,NB,CA
Dokis 9,,"3549077",46.07699282610,-80.05948468020,,ON,CA
Whitewater Region,,"3547056",45.71415304040,-76.83979704340,,ON,CA
Summer Beaver,,"3560086",52.79367531770,-88.46522677580,,ON,CA
,Les Hauteurs,"2409015",48.36286827430,-68.10780512650,,QC,CA
,Saint-Édouard-de-Fabre,"2485015",47.18515834890,-79.35510172280,,QC,CA
"Region 6, Unorganized",,"6106097",63.95816908970,-111.87721984300,,NT,CA
,Saint-Philibert,"2429065",46.13766727220,-70.54642069550,,QC,CA
Fort Smith,,"6105001",60.02599574460,-112.08208242500,,NT,CA
Willner No. 253,,"4711016",51.22853642800,-106.21360544300,,SK,CA
,Alma,"2493042",48.59173422780,-71.68239726840,,QC,CA
Prince Albert,,"4715066",53.21533828860,-105.69737157400,,SK,CA
Codette,,"4714074",53.28206677660,-104.02871203400,,SK,CA
Numukamis 1,,"5923809",48.89910177840,-124.99024221000,,BC,CA
,Saint-Lucien,"2449030",45.87018879440,-72.28845224960,,QC,CA
Port Saunders,,"1009019",50.66215776130,-57.25385053710,,NL,CA
Arnprior,,"3547002",45.42538329840,-76.35645133080,,ON,CA
Pays Plat 51,,"3558063",48.88479433910,-87.55883359040,,ON,CA
,Saint-André,"2414040",47.74676136420,-69.74075864770,,QC,CA
,Entrelacs,"2462053",46.12573382740,-74.00803434080,,QC,CA
,Notre-Dame-des-Pins,"2429120",46.17720677910,-70.71556291290,,QC,CA
Franklin,,"4602025",49.13818969740,-97.00846372880,,MB,CA
Sackville,,"1307008",45.94355870820,-64.39181983530,,NB,CA
"Division No. 10, Subd. C",,"1010020",53.02055386130,-60.96292542620,,NL,CA
,Lochaber,"2480055",45.62519264710,-75.19281066320,,QC,CA
Brant,,"3529005",43.13606195310,-80.34519242580,,ON,CA
,Saint-Pierre,"2461020",46.01285188930,-73.48198774160,,QC,CA
Alkali Lake 1,,"5941801",51.78907008940,-122.22465353000,,BC,CA
Lot 59,,"1101009",46.14024941840,-62.61629967460,,PE,CA
,Saint-Henri-de-Taillon,"2493070",48.64601627850,-71.84268116940,,QC,CA
Hawkesbury,,"3502008",45.60908106380,-74.61082115620,,ON,CA
Grise Fiord,,"6204025",76.47961713230,-82.78553867340,,NU,CA
Shuniah,,"3558028",48.60893433120,-88.84247132330,,ON,CA
,Beauharnois,"2470022",45.29865702360,-73.88736959840,,QC,CA
Francois Lake 7,,"5951822",54.00900017340,-125.95300674900,,BC,CA
Shoal Lake (Part) 39A,,"4601082",49.65854039440,-95.15865837250,,MB,CA
Arrowwood,,"4805011",50.73831485520,-113.15372701300,,AB,CA
Eston,,"4708076",51.14936592310,-108.75471852100,,SK,CA
,Châteauguay,"2467050",45.36607238670,-73.75531953530,,QC,CA
Mount Waddington C,,"5943031",50.56324118860,-127.37439867800,,BC,CA
Glen McPherson No. 46,,"4703016",49.39304223820,-107.41836513700,,SK,CA
Chesterfield No. 261,,"4708065",51.15662001790,-109.68868318800,,SK,CA
Stenen,,"4709069",51.89967679230,-102.37793199900,,SK,CA
,Sault-au-Cochon,"2421902",47.15343243720,-70.64757713210,,QC,CA
Thessalon 12,,"3557026",46.25287933180,-83.41242450600,,ON,CA
Gordon,,"1312008",46.83625978350,-67.19132804520,,NB,CA
"Division No.  7, Subd. D",,"1007038",48.54240377850,-54.27795766320,,NL,CA
,Maricourt,"2442065",45.55836007550,-72.31482551630,,QC,CA
Gravenhurst,,"3544002",44.88489529590,-79.31292078590,,ON,CA
King,,"3519049",43.97599476700,-79.60891670830,,ON,CA
Rencontre East,,"1003002",47.64163829010,-55.22186535960,,NL,CA
McCreary,,"4617034",50.75646061080,-99.43003971440,,MB,CA
Port Hope,,"3514020",44.00398304830,-78.38289073450,,ON,CA
,Rivière-Bonaventure,"2405902",48.41758797670,-65.63064020120,,QC,CA
Trinity (Trinity Bay),,"1007015",48.37275753740,-53.38873750500,,NL,CA
,Delson,"2467025",45.37417966760,-73.53974176430,,QC,CA
Redberry No. 435,,"4716018",52.75972876640,-107.23950022300,,SK,CA
Martin No. 122,,"4705007",50.19085890640,-101.86867020300,,SK,CA
Factory Island 1,,"3556094",51.26679322690,-80.59439317910,,ON,CA
Bay de Verde,,"1001347",48.10127810420,-52.88958492650,,NL,CA
Central Kootenay H,,"5903052",49.85374062250,-117.53061776500,,BC,CA
Mulmur,,"3522016",44.18956147460,-80.10243657140,,ON,CA
Indian Head,,"4706039",50.53417079550,-103.66809655800,,SK,CA
Medstead,,"4716063",53.29816480430,-108.07919291600,,SK,CA
Shediac,,"1307016",46.20473292670,-64.56612645620,,NB,CA
North Okanagan E,,"5937023",50.31047938080,-118.45270453300,,BC,CA
Williams Lake,,"5941009",52.13598499240,-122.12630305800,,BC,CA
,Saint-Gérard-Majella,"2453085",46.00609293050,-72.84834275380,,QC,CA
,Sainte-Eulalie,"2450005",46.10886259280,-72.23819317800,,QC,CA
Matsqui Main 2,,"5909878",49.10882771340,-122.35120248400,,BC,CA
Rose Valley,,"4714024",52.29125716670,-103.81054007100,,SK,CA
,Grand-Métis,"2409060",48.73796557250,-68.18166184800,,QC,CA
,Saint-Jacques-le-Mineur,"2468040",45.26625640630,-73.43156499850,,QC,CA
Glenburnie-Birchy Head-Shoal Brook,,"1009030",49.45210194660,-57.91157982680,,NL,CA
,Nouvelle,"2406020",48.16884308540,-66.37679336280,,QC,CA
Sandy Bay 5,,"4608069",50.54697490230,-98.65813512320,,MB,CA
Cranbrook,,"5901022",49.53799076330,-115.76870010200,,BC,CA
Cowichan Valley H,,"5919017",49.01765858310,-123.86410638900,,BC,CA
Humboldt No. 370,,"4715007",52.27607967780,-105.22757518800,,SK,CA
Wabigoon Lake 27,,"3560057",49.61423057580,-92.54996765810,,ON,CA
,Windsor,"2442088",45.57032380350,-71.99629335810,,QC,CA
Meadow Lake 105A,,"4717819",54.04266971650,-108.52195756900,,SK,CA
,Deux-Montagnes,"2472010",45.54138662350,-73.90264854870,,QC,CA
Cardston,,"4803004",49.19270128660,-113.30989983700,,AB,CA
Stone 1,,"5941841",51.93094866120,-123.14750940700,,BC,CA
Neguac,,"1309038",47.25992351190,-65.07728634550,,NB,CA
Halton Hills,,"3524015",43.62382112160,-79.94166659010,,ON,CA
"Baffin, Unorganized",,"6204030",75.18557370930,-86.36563332380,,NU,CA
,Chambly,"2457005",45.43117698260,-73.28716403130,,QC,CA
Strathcona C,,"5924054",50.71562431260,-124.98647567600,,BC,CA
Lac Seul 28,,"3560056",50.24312464760,-92.27358086380,,ON,CA
Logan Lake,,"5933035",50.48658824160,-121.02820133000,,BC,CA
"Division No.  7, Subd. G",,"1007024",48.61704768330,-53.24247602260,,NL,CA
Greenspond,,"1007054",49.07304832310,-53.57761417520,,NL,CA
Dorchester,,"1307012",45.90398962220,-64.51170584750,,NB,CA
,Mont-Joli,"2409077",48.58571008220,-68.19216556290,,QC,CA
,Shigawake,"2405010",48.10713054430,-65.06069239250,,QC,CA
,Akulivik,"2499125",60.84510184600,-78.12662612830,,QC,CA
,Kuujjuaq,"2499095",58.14319390300,-68.37395198270,,QC,CA
Salisbury,,"1307024",46.07766403830,-65.19966023910,,NB,CA
Mewatha Beach,,"4813045",54.60994775780,-112.74343171700,,AB,CA
Denzil,,"4713054",52.22677321640,-109.65040483900,,SK,CA
Waterford,,"1305024",45.66330341450,-65.29359242510,,NB,CA
,Saint-Bernard-de-Michaudville,"2454115",45.82231766530,-73.06690665890,,QC,CA
Special Area No. 3,,"4804012",51.33451009230,-110.71054389600,,AB,CA
Pelly,,"4709044",51.85649955440,-101.92827269300,,SK,CA
Kelsey,,"4621052",53.76146581230,-101.42585833200,,MB,CA
Spiritwood,,"4716058",53.36480983990,-107.51927537800,,SK,CA
Southgate,,"3542005",44.09294632990,-80.58732713440,,ON,CA
,Morin-Heights,"2477050",45.90252236650,-74.25863285290,,QC,CA
Stewart Crossing,,"6001050",63.36997339280,-136.69010474900,,YT,CA
Rolling River 67,,"4615071",50.46507275500,-99.99574965010,,MB,CA
Beardy's and Okemasis 96 and 97B,,"4715859",52.83895336630,-106.39401959400,,SK,CA
Leoville,,"4716061",53.63246190800,-107.55089965800,,SK,CA
,Saint-Eusèbe,"2413030",47.53604068340,-68.92078510590,,QC,CA
Wapekeka 2,,"3560088",53.82481869570,-89.57379207180,,ON,CA
Lawn,,"1002011",46.93944254740,-55.53945158920,,NL,CA
Eagle Creek No. 376,,"4712064",52.28134621380,-107.53086888300,,SK,CA
West Baptiste,,"4813057",54.75407691600,-113.56522172400,,AB,CA
Senlac No. 411,,"4713076",52.53631142580,-109.73089522800,,SK,CA
Muskowekwan 85-27,,"4710846",51.27621681370,-103.93883953800,,SK,CA
Fond du Lac 231,,"4718847",59.12167879550,-107.90026238100,,SK,CA
Gananoque,,"3507024",44.33335515940,-76.16599890940,,ON,CA
Edwardsburgh/Cardinal,,"3507004",44.83629305010,-75.50024063050,,ON,CA
Canora,,"4709032",51.63407674940,-102.43474623800,,SK,CA
,Sainte-Félicité,"2417025",46.96499506090,-69.94357420240,,QC,CA
Morris,,"4603065",49.41045230960,-97.48045131500,,MB,CA
Tall Cree 173,,"4817838",57.90869831430,-115.41131759800,,AB,CA
,Sainte-Pétronille,"2420030",46.85176203500,-71.12576906090,,QC,CA
Matachewan,,"3554056",47.91156789830,-80.74649263320,,ON,CA
Nobleford,,"4802014",49.88466772990,-113.05382495600,,AB,CA
Forty Mile County No. 8,,"4801008",49.48258401560,-111.16141857000,,AB,CA
,Béthanie,"2448005",45.51033063050,-72.42548662440,,QC,CA
,Sainte-Marthe,"2471110",45.39910306180,-74.29991589560,,QC,CA
Thompson-Nicola E (Bonaparte Plateau),,"5933032",51.25258165130,-121.66550886000,,BC,CA
,Lac-Lenôtre,"2483906",47.46275376340,-75.99766105570,,QC,CA
Old Fort 217,,"4816849",58.41344224650,-111.48594293300,,AB,CA
,Ormstown,"2469037",45.11428301930,-73.99386024810,,QC,CA
Muskowekwan 85-12,,"4710843",51.26674832900,-103.91456096400,,SK,CA
,Waswanipi,"2499010",49.74257138810,-76.18946721740,,QC,CA
"Division No.  8, Subd. M",,"1008001",49.51439588980,-53.60186161420,,NL,CA
,Dégelis,"2413005",47.58534413730,-68.53533714450,,QC,CA
Grimsby,,"3526065",43.17942447870,-79.57543719110,,ON,CA
,Sainte-Lucie-des-Laurentides,"2478020",46.15312730790,-74.19079432310,,QC,CA
,Rivière-Nipissis,"2497902",51.33737301280,-65.93097381470,,QC,CA
Kwawkwawapilt 6,,"5909821",49.16385895470,-121.97970888200,,BC,CA
Sedgewick,,"4807044",52.77736912100,-111.69235212900,,AB,CA
,Dorval,"2466087",45.45052635980,-73.75074704660,,QC,CA
Coleman,,"3554001",47.35938474570,-79.76226476180,,ON,CA
St.-Charles,,"3552004",46.34216622550,-80.44982194260,,ON,CA
,Saint-Sylvère,"2438005",46.23452627140,-72.22894643800,,QC,CA
Ermineskin NB8,,"4811801",52.86834814560,-113.48188117600,,AB,CA
La Plonge 192,,"4718807",55.18975379100,-107.58707530800,,SK,CA
North Qu'Appelle No. 187,,"4706048",50.74947051080,-103.90047131900,,SK,CA
,Saint-Elzéar,"2405050",48.17870853770,-65.43941102850,,QC,CA
Nanoose,,"5921805",49.25188170710,-124.12352062600,,BC,CA
Gregoire Lake 176A,,"4816822",56.44499917410,-111.17866244500,,AB,CA
,Lac-des-Plages,"2480130",46.02951907170,-74.94446529990,,QC,CA
"Division No.  6, Subd. E",,"1006008",48.76620239030,-54.90894861310,,NL,CA
Mountain (South),,"4620032",51.90373545640,-100.44467147000,,MB,CA
Thomas Point 5,,"5943817",50.69702506260,-127.38382719500,,BC,CA
Collingwood,,"3543031",44.57255402060,-80.23628208000,,ON,CA
Palling 1,,"5951820",54.33224492060,-125.89546925300,,BC,CA
,Franklin,"2469010",45.04696568800,-73.90058379310,,QC,CA
,Saint-Zotique,"2471025",45.23723233600,-74.26270004050,,QC,CA
Zeballos,,"5924029",49.98341335940,-126.85231784300,,BC,CA
North Grenville,,"3507065",44.97005136960,-75.65071256820,,ON,CA
Sucker Creek 23,,"3551041",45.96091393940,-81.99673215130,,ON,CA
Dawson,,"3559040",48.77803785150,-94.51520208960,,ON,CA
Huron East,,"3540040",43.62645556580,-81.28942563120,,ON,CA
Southampton,,"1310024",46.07880535740,-67.31238185950,,NB,CA
Thompson-Nicola I (Blue Sky Country),,"5933037",50.44949563120,-121.52690098700,,BC,CA
