2026-03-27 23:28:21,151 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870528-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
2026-03-27 23:29:56,517 | SAME_GENERATED | header=ZCZC-WXR-DMO-065100+0100-0870529-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/962705f95d81d7eb3937.wav | duration=34.27s | sr=22050
2026-03-27 23:30:53,068 | SAME_GENERATED | header=ZCZC-WXR-DMO-065100+0100-0870530-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/cdf3e60859c1695827f4.wav | duration=25.98s | sr=22050
2026-03-27 23:31:42,253 | SAME_GENERATED | header=ZCZC-WXR-DMO-065100+0100-0870531-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/056b025b912f21a96971.wav | duration=41.13s | sr=22050
2026-03-27 23:33:05,142 | SAME_GENERATED | header=ZCZC-WXR-DMO-000000+0100-0870533-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/762b2d693ce4483bb609.wav | duration=35.97s | sr=22050
2026-03-27 23:34:05,075 | SAME_GENERATED | header=ZCZC-WXR-DMO-000000+0100-0870534-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/dd6c7345552956b42530.wav | duration=36.17s | sr=22050
2026-03-28 02:14:30,675 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870814-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
2026-03-28 02:17:35,293 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870817-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
2026-03-28 02:23:17,747 | SAME_GENERATED | header=ZCZC-WXR-ADR-065100-065612-065532-065500+0005-0870823-BTTRADIO- | tone=WXR | attn=8.0s | audio=/home/rai/Documents/dev/haze-weather-radio/output/_uploads/59dadfd0d237d3a28b43.wav | duration=39.36s | sr=22050
2026-03-28 02:31:03,839 | SAME_GENERATED | header=ZCZC-WXR-DMO-065100-065612-065532-065500+0100-0870831-BTTRADIO- | tone=None | attn=8.0s | audio=output/sk-saskatoon/en-CA/manual_same.wav | duration=12.83s | sr=22050
2026-03-28 11:10:47,379 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0871710-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
2026-03-28 11:29:57,613 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0871729-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
